waypoint_data
"[(-0.539047122001648,-0.6425678133964539,0.0),(0.0,0.0,0.15307236881434705,0.9881290183336852)],1"
"[(-0.5559371709823608,-0.652618408203125,0.0),(0.0,0.0,0.15293270854760302,0.9881471484858209)],1"
"[(-0.5814071297645569,-0.6744615435600281,0.0),(0.0,0.0,0.15023019643447794,0.9885521426010211)],1"
"[(-0.701198935508728,-0.6709229350090027,0.0),(0.0,0.0,0.15184074135749945,0.9883116332306956)],1"
"[(-0.7073913216590881,-0.6619077324867249,0.0),(0.0,0.0,0.1550351842632296,0.9878139032684088)],1"
"[(-0.7069531083106995,-0.6160833239555359,0.0),(0.0,0.0,0.16775085595481404,0.9857368650980478)],1"
"[(-0.7078278660774231,-0.6103371381759644,0.0),(0.0,0.0,0.1664999894809756,0.9859471652317876)],1"
"[(-0.6779842376708984,-0.4942282736301422,0.0),(0.0,0.0,0.17219994326399307,0.9849638109624623)],0"
"[(-0.6941843032836914,-0.47559499740600586,0.0),(0.0,0.0,0.1722214242951297,0.9849621777616214)],0"
"[(-0.6778051257133484,-0.4963627755641937,0.0),(0.0,0.0,0.17214802792892142,0.9849720546873915)],0"
"[(-0.6755348443984985,-0.5001971125602722,0.0),(0.0,0.0,0.17296265009103273,0.9848301934703927)],1"
"[(-0.6742578148841858,-0.49776381254196167,0.0),(0.0,0.0,0.17189806185058457,0.9850146506883839)],1"
"[(-0.6835468411445618,-0.49672070145607,0.0),(0.0,0.0,0.17277719101985853,0.9848614339308801)],0"
"[(-0.674224317073822,-0.4944029748439789,0.0),(0.0,0.0,0.17464020887106907,0.9845175798318958)],0"
"[(-0.6796308159828186,-0.48087894916534424,0.0),(0.0,0.0,0.1749448302397305,0.9844798914081121)],1"
"[(-0.721442699432373,-0.46502959728240967,0.0),(0.0,0.0,0.17553122918894368,0.9843730363638815)],1"
"[(-0.6849023103713989,-0.48177313804626465,0.0),(0.0,0.0,0.1723990466108975,0.9849239441207455)],0"
"[(-0.67441725730896,-0.4912358820438385,0.0),(0.0,0.0,0.17339098439080333,0.9847513598474208)],0"
"[(-0.6797829270362854,-0.490806519985199,0.0),(0.0,0.0,0.1712053980506456,0.9851250252191687)],1"
"[(-0.6798977851867676,-0.4817582070827484,0.0),(0.0,0.0,0.17450830522147376,0.9845566874002911)],1"
"[(-0.681260347366333,-0.48067474365234375,0.0),(0.0,0.0,0.17384130492976452,0.9846693697464249)],0"
"[(-0.6874497532844542,-0.4805445373058319,0.0),(0.0,0.0,0.17562717112411136,0.984354690936917)],0"
